time,open,high,low,close,Volume,Volume MA,Total common shares outstanding,Mkt сap
2010-02-16T23:00:00Z,17.17574,17.517813,17.166738,17.418793,365272,376634.2,NaN,NaN
2010-02-17T23:00:00Z,17.54482,17.589831,16.968695,17.211748,345833,350171.85,NaN,NaN
2010-02-18T23:00:00Z,17.283764,17.643842,17.022706,17.220749,409811,345396.15,NaN,NaN
2010-02-21T23:00:00Z,17.535818,17.787873,17.202746,17.445798,239302,337296.15,NaN,NaN
2010-02-22T23:00:00Z,17.274762,17.35578,16.797657,17.274762,279444,340474.75,NaN,NaN
2010-02-23T23:00:00Z,17.031708,17.139733,16.851668,17.049713,186382,331447.1,NaN,NaN
2010-02-24T23:00:00Z,17.121728,17.508813,16.410573,16.698635,352229,325517.6,NaN,NaN
2010-02-25T23:00:00Z,16.878675,17.283764,16.572608,16.986699,318161,309824.45,NaN,NaN
2010-02-28T23:00:00Z,16.599615,17.274762,16.599615,17.238753,626242,327292.55,NaN,NaN
2010-03-01T23:00:00Z,17.508813,17.553822,17.301766,17.436797,267330,327223.55,NaN,NaN
2010-03-02T23:00:00Z,17.427795,17.598831,17.139733,17.553822,339711,330790.95,NaN,NaN
2010-03-03T23:00:00Z,17.63484,17.760867,17.112726,17.760867,616834,348428.9,NaN,NaN
2010-03-04T23:00:00Z,17.706855,17.994918,17.526815,17.769869,426448,348651.1,NaN,NaN
2010-03-07T23:00:00Z,17.994918,18.156953,17.589831,17.9139,650225,372786.4,NaN,NaN
2010-03-08T23:00:00Z,17.976913,17.985916,17.670847,17.9139,277416,372930.75,NaN,NaN
2010-03-09T23:00:00Z,17.9139,18.354996,17.63484,18.165955,449499,364093.95,NaN,NaN
2010-03-10T23:00:00Z,18.165955,18.210965,17.859889,18.210965,370695,365411.55,NaN,NaN
2010-03-11T23:00:00Z,18.18396,18.18396,17.751864,17.832882,200328,352155.45,NaN,NaN
2010-03-14T23:00:00Z,17.832882,18.075936,17.805878,18.00392,293716,359251.8,NaN,NaN
2010-03-15T23:00:00Z,18.138949,18.165955,17.859889,18.012922,423822,371935,NaN,NaN
2010-03-16T23:00:00Z,18.012922,18.120945,17.949909,18.102942,623353,384839.05,NaN,NaN
2010-03-17T23:00:00Z,18.021924,18.391004,18.021924,18.345994,337776,384436.2,NaN,NaN
2010-03-18T23:00:00Z,18.391004,18.949125,18.327991,18.841102,340833,380987.3,NaN,NaN
2010-03-21T23:00:00Z,18.841102,18.868107,18.354996,18.354996,274158,382730.1,NaN,NaN
2010-03-22T23:00:00Z,18.391004,18.787091,18.273978,18.769087,394832,388499.5,NaN,NaN
2010-03-23T23:00:00Z,18.679067,19.048147,18.445016,18.92212,312415,394801.15,NaN,NaN
2010-03-24T23:00:00Z,18.904116,18.92212,18.607051,18.778089,324109,393395.15,NaN,NaN
2010-03-25T23:00:00Z,18.661063,18.715076,18.382002,18.679067,232660,389120.1,NaN,NaN
2010-03-28T23:00:00Z,18.724076,19.183176,18.688069,19.066151,592375,387426.75,NaN,NaN
2010-03-29T23:00:00Z,19.111161,19.111161,18.715076,18.949125,231039,385612.2,NaN,NaN
2010-03-30T23:00:00Z,18.814096,18.92212,18.688069,18.886112,418067,389530,NaN,NaN
2010-03-31T23:00:00Z,18.697071,18.841102,18.472022,18.517032,391826,378279.6,NaN,NaN
2010-04-06T00:00:00Z,18.751083,18.787091,18.454018,18.607051,260518,369983.1,NaN,NaN
2010-04-07T00:00:00Z,18.634058,19.057149,18.625056,19.039145,468993,360921.5,NaN,NaN
2010-04-08T00:00:00Z,19.030143,19.030143,18.679067,18.859107,210365,357568.95,NaN,NaN
2010-04-09T00:00:00Z,18.859107,18.877109,18.472022,18.535036,195687,344878.35,NaN,NaN
2010-04-12T00:00:00Z,18.634058,18.679067,18.066934,18.363998,501564,351421.8,NaN,NaN
2010-04-13T00:00:00Z,18.354996,18.499027,18.174958,18.373,382079,360509.35,NaN,NaN
2010-04-14T00:00:00Z,18.490027,18.616053,18.454018,18.589047,185295,355088.3,NaN,NaN
2010-04-15T00:00:00Z,18.688069,18.994136,18.625056,18.940125,378206,352807.5,NaN,NaN
2010-04-16T00:00:00Z,18.976132,19.2912,18.751083,19.264194,348395,339059.6,NaN,NaN
2010-04-19T00:00:00Z,18.733078,18.805094,18.544038,18.724076,409966,342669.1,NaN,NaN
2010-04-20T00:00:00Z,18.589047,18.589047,17.481806,18.012922,736051,362430,NaN,NaN
2010-04-21T00:00:00Z,18.111944,18.445016,17.976913,18.373,331095,365276.85,NaN,NaN
2010-04-22T00:00:00Z,18.318989,18.373,17.922902,18.174958,373840,364227.25,NaN,NaN
2010-04-23T00:00:00Z,18.012922,18.09394,17.82388,17.976913,247988,361005.9,NaN,NaN
2010-04-27T00:00:00Z,17.949909,17.958911,17.832882,17.886895,444447,367022.8,NaN,NaN
2010-04-28T00:00:00Z,17.211748,17.81488,16.941689,17.63484,728063,391792.95,NaN,NaN
2010-04-29T00:00:00Z,17.769869,18.120945,17.769869,18.00392,363209,380334.65,NaN,NaN
2010-04-30T00:00:00Z,17.82388,17.949909,17.598831,17.868891,731176,405341.5,NaN,NaN
2010-05-03T00:00:00Z,17.751864,17.805878,17.274762,17.661846,370651,402970.7,NaN,NaN
2010-05-04T00:00:00Z,17.661846,17.805878,17.391787,17.643842,448901,405824.45,NaN,NaN
2010-05-05T00:00:00Z,17.328773,17.391787,17.112726,17.310769,373724,411484.75,NaN,NaN
2010-05-06T00:00:00Z,17.238753,17.553822,17.094722,17.328773,552285,415649.35,NaN,NaN
2010-05-07T00:00:00Z,16.491591,17.229751,16.095504,16.626619,472908,428776.5,NaN,NaN
2010-05-10T00:00:00Z,16.257539,16.923684,16.221532,16.698635,546239,446304.1,NaN,NaN
2010-05-11T00:00:00Z,16.923684,17.283764,16.392568,16.392568,371946,439823.2,NaN,NaN
2010-05-12T00:00:00Z,16.58161,17.373782,16.58161,16.986699,430829,442260.7,NaN,NaN
2010-05-13T00:00:00Z,17.013704,17.094722,16.599615,16.923684,568011,461396.5,NaN,NaN
2010-05-14T00:00:00Z,16.698635,17.031708,16.67163,16.779653,312479,458110.15,NaN,NaN
2010-05-17T00:00:00Z,16.644624,16.734644,15.924468,15.960475,668885,474134.65,NaN,NaN
2010-05-18T00:00:00Z,16.014488,16.266542,15.888459,15.924468,1123049,509788.8,NaN,NaN
2010-05-19T00:00:00Z,15.762432,15.798439,15.47437,15.546385,1114413,528706.9,NaN,NaN
2010-05-20T00:00:00Z,15.447363,16.131512,14.51116,14.952256,1365844,580444.35,NaN,NaN
2010-05-21T00:00:00Z,13.953038,14.880241,13.800005,14.646189,757716,599638.15,NaN,NaN
2010-05-24T00:00:00Z,14.583176,14.907245,14.286111,14.691199,490477,611762.6,NaN,NaN
2010-05-25T00:00:00Z,14.583176,15.66341,14.529163,15.123292,1760231,677551.8,NaN,NaN
